"","germplasmName","predicted.value","std.error","status","trait","study","rel"
"1","07-19334",95.8023811496072,3.58660719286981,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"2","12-26004",98.7079756721721,3.56475015917064,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"3","16-8048",90.9308111054486,3.63944631725415,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"4","19-10123",100.614210598307,3.44370005229722,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"5","19-12926",99.7145954963962,3.26539586506626,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"6","19-13414",99.6163864996316,3.41306324656976,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"7","19-13451",104.007360338856,3.33450309592056,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"8","19-13713",102.041197739482,3.93793289296079,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"9","19-13978",102.834388732905,3.46771489520095,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"10","19-14617",98.2585636141951,3.50936965378756,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"11","19-14845",118.903257185624,3.63677604344815,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"12","19-14933",107.259234324308,3.49158397461814,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"13","19-15017",103.912735582172,3.62972146709752,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"14","19-16176",97.7761438132414,3.31546034888614,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"15","19-17546",103.929794591325,3.20930267220567,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"16","19-17662",94.338723383193,3.5297433104483,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"17","19-18153",96.9122866547916,3.32725569847922,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"18","19-18156",94.1675037630466,3.60141065722365,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"19","19-18725",107.204912473508,3.60086848855926,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"20","19-18826",87.8226258684742,3.60197915336897,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"21","19-18837",94.8794422537705,3.51090902357928,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"22","19-18957",105.916984056169,3.09626417664293,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"23","19-19205",93.8779359730994,3.76263695741445,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"24","19-20348",102.92611100546,3.72828777338192,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"25","19-21467",98.0803288870055,3.5902337835621,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"26","19-21760",99.9900566406809,3.8177948220735,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"27","19-21848",109.483114570478,3.38483835333218,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"28","19-22757",99.251179354644,3.42093975261939,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"29","19-23855",98.9998799875692,3.63825310985012,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"30","19-25469",95.2985943891044,3.70080823237336,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"31","19-26456",99.9109751372156,3.51280456189377,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"32","19-26709",102.851462840192,3.48898634851825,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"33","19-27565",95.203049352801,3.41365857624207,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"34","19-4151",93.8706434750573,3.3075715213645,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"35","19-5122",95.7309449203994,3.43817051465645,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"36","19-5632",96.9172962359095,3.50855689968281,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"37","19-6637",98.9435811334396,3.65788671583702,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"38","19-6946",109.621848641767,3.54149962980544,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"39","2020-10001",99.4239798475933,3.58671693146181,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"40","2020-10026",94.4655021449149,4.18231527013403,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"41","2020-10275",94.0531883690377,4.31182984970491,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"42","2020-10322",108.214458949717,3.51006707161306,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"43","2020-10415",99.3443667362243,3.55557681730546,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"44","2020-10435",90.7414288209751,4.21425347723837,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"45","2020-10630",102.761333176268,4.23108228332252,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"46","2020-11134",101.0645909784,4.46727826903177,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"47","2020-11426",106.10144701074,4.13405076355365,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"48","2020-11841",95.6636516196266,3.43244509133647,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"49","2020-12650",99.0378531958138,4.48348533327262,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"50","2020-12665",104.027676570577,3.46763477665974,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"51","2020-13145",97.0653355965345,4.51613894198362,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"52","2020-1362",101.267736897509,4.21276841731473,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"53","2020-13902",118.67625032664,4.0794483182337,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"54","2020-14116",102.425711130094,3.41737075388778,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"55","2020-1511",101.076474176773,4.4432452223059,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"56","2020-15256",105.348205454025,4.33877844172722,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"57","2020-15403",93.0973351327444,4.15559926841746,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"58","2020-15429",88.9472371303235,4.13353561255698,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"59","2020-15726",94.5151588409417,4.81631764416534,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"60","2020-1578",102.649750738122,4.17555152631385,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"61","2020-16022",107.171952657288,4.11537737119108,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"62","2020-16035",102.896829011667,4.88461526384486,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"63","2020-16102",102.197844036386,3.4279107850532,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"64","2020-16118",96.2861754232366,4.37567485563579,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"65","2020-16145",106.237038761867,4.23425216181364,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"66","2020-16641",98.153540036105,3.2838750180312,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"67","2020-17006",90.132242565807,4.26710010234253,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"68","2020-17017",93.4420504982035,4.0924654321168,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
"69","2020-1761",94.9583464493642,3.34011989904268,"Estimable","Grain.yield...bu.ac","YT_Addie_23",0.700801223745316
